model,display,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
openai/gpt-4-turbo,GPT-4-Turbo,0,0,5adef80b5542993a75d263c4,1,1.0,563,36,0.00671,1
openai/gpt-4-turbo,GPT-4-Turbo,0,1,5ae0aaf455429945ae959401,0,0.6667,591,84,0.00843,1
openai/gpt-4-turbo,GPT-4-Turbo,0,2,5ab47d765542991751b4d78f,0,0.8,1253,133,0.01652,2
openai/gpt-4-turbo,GPT-4-Turbo,0,3,5a7ed2c655429930675135e5,0,0.3333,841,108,0.01165,1
openai/gpt-4-turbo,GPT-4-Turbo,0,4,5ac3e0f7554299194317388b,0,0.0,820,116,0.01168,1
openai/gpt-4-turbo,GPT-4-Turbo,0,5,5a7bae20554299294a54aa96,0,0.0,5931,499,0.07428,6
openai/gpt-4-turbo,GPT-4-Turbo,0,6,5ab8ee035542991b5579f04b,1,1.0,596,47,0.00737,1
openai/gpt-4-turbo,GPT-4-Turbo,0,7,5a7a276d5542996c55b2dd27,0,0.8571,523,80,0.00763,1
openai/gpt-4-turbo,GPT-4-Turbo,0,8,5a717d4c5542994082a3e854,0,0.8,590,118,0.00944,1
openai/gpt-4-turbo,GPT-4-Turbo,0,9,5ac02e31554299294b218f3f,1,1.0,833,100,0.01133,1
openai/gpt-4-turbo,GPT-4-Turbo,0,10,5a79ea435542996c55b2dc9e,0,0.75,840,89,0.01107,1
openai/gpt-4-turbo,GPT-4-Turbo,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1004,61,0.01187,1
openai/gpt-4-turbo,GPT-4-Turbo,0,12,5a834ed95542990548d0b1ca,0,0.6667,684,68,0.00888,1
openai/gpt-4-turbo,GPT-4-Turbo,0,13,5ab41d855542996a3a969f4b,1,1.0,588,78,0.00822,1
openai/gpt-4-turbo,GPT-4-Turbo,0,14,5a7b7ff75542995eb53be93d,0,0.8571,646,81,0.00889,1
openai/gpt-4-turbo,GPT-4-Turbo,0,15,5a7d19d85542995ed0d165e8,1,1.0,497,76,0.00725,1
openai/gpt-4-turbo,GPT-4-Turbo,0,16,5ae7ed17554299540e5a56a3,0,0.0,5398,300,0.06298,6
openai/gpt-4-turbo,GPT-4-Turbo,0,17,5ab2659e554299340b5254b2,0,0.5,623,73,0.00842,1
openai/gpt-4-turbo,GPT-4-Turbo,0,18,5abd2eab5542992ac4f38210,1,1.0,649,85,0.00904,1
openai/gpt-4-turbo,GPT-4-Turbo,0,19,5abaf3195542996cc5e49f2c,1,1.0,1866,186,0.02424,2
openai/gpt-4-turbo,GPT-4-Turbo,0,20,5a791a97554299148911f9f2,0,0.6667,551,64,0.00743,1
openai/gpt-4-turbo,GPT-4-Turbo,0,21,5adf58f15542993a75d264d2,0,0.0,846,83,0.01095,1
openai/gpt-4-turbo,GPT-4-Turbo,0,22,5adc65e85542996e68525350,1,1.0,438,58,0.00612,1
openai/gpt-4-turbo,GPT-4-Turbo,0,23,5a87ab9b5542996e4f3088c2,0,0.0,741,74,0.00963,1
openai/gpt-4-turbo,GPT-4-Turbo,0,24,5a738fe855429908901be2fb,0,0.0,3798,382,0.04944,6
openai/gpt-4-turbo,GPT-4-Turbo,0,25,5a8c65a1554299585d9e3680,1,1.0,723,80,0.00963,1
openai/gpt-4-turbo,GPT-4-Turbo,0,26,5ac2bbd0554299218029db09,1,1.0,1723,106,0.02041,2
openai/gpt-4-turbo,GPT-4-Turbo,0,27,5adf3e355542993a75d26440,1,1.0,746,111,0.01079,1
openai/gpt-4-turbo,GPT-4-Turbo,0,28,5ae82ae555429952e35eaa71,1,1.0,1121,67,0.01322,1
openai/gpt-4-turbo,GPT-4-Turbo,0,29,5ac289ff5542996366519a02,0,0.0,6149,367,0.0725,6
openai/gpt-4-turbo,GPT-4-Turbo,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,6998,322,0.07964,6
openai/gpt-4-turbo,GPT-4-Turbo,0,31,5ab8688b55429934fafe6daa,1,1.0,539,73,0.00758,1
openai/gpt-4-turbo,GPT-4-Turbo,0,32,5a7a3a945542996a35c17147,1,1.0,3099,188,0.03663,3
openai/gpt-4-turbo,GPT-4-Turbo,0,33,5ab9b29c554299743d22ebae,0,0.0,6942,447,0.08283,6
openai/gpt-4-turbo,GPT-4-Turbo,0,34,5a8b63fa55429950cd6afcd7,1,1.0,585,69,0.00792,1
openai/gpt-4-turbo,GPT-4-Turbo,0,35,5ade51b45542997c77adedf4,1,1.0,671,100,0.00971,1
