w_lat,c_hum,inf_shock,tau_code,tau_web,tau_research
0.5,0.5,-0.5,-0.2381,-0.1429,-0.3333
0.5,0.5,0.0,-0.2381,-0.1429,-0.3333
0.5,0.5,0.5,-0.2381,-0.1429,-0.3333
0.5,1.0,-0.5,-0.2381,-0.1429,-0.3333
0.5,1.0,0.0,-0.2381,-0.1429,-0.3333
0.5,1.0,0.5,-0.2381,-0.1429,-0.3333
0.5,2.0,-0.5,-0.2381,-0.1429,-0.3333
0.5,2.0,0.0,-0.2381,-0.1429,-0.3333
0.5,2.0,0.5,-0.2381,-0.1429,-0.3333
0.75,0.5,-0.5,-0.2381,-0.0476,-0.3333
0.75,0.5,0.0,-0.2381,-0.1429,-0.3333
0.75,0.5,0.5,-0.2381,-0.1429,-0.3333
0.75,1.0,-0.5,-0.2381,-0.0476,-0.3333
0.75,1.0,0.0,-0.2381,-0.1429,-0.3333
0.75,1.0,0.5,-0.2381,-0.1429,-0.3333
0.75,2.0,-0.5,-0.2381,-0.0476,-0.3333
0.75,2.0,0.0,-0.2381,-0.1429,-0.3333
0.75,2.0,0.5,-0.2381,-0.1429,-0.3333
1.0,0.5,-0.5,-0.1429,-0.0476,-0.2381
1.0,0.5,0.0,-0.2381,-0.1429,-0.3333
1.0,0.5,0.5,-0.2381,-0.1429,-0.3333
1.0,1.0,-0.5,-0.1429,-0.0476,-0.2381
1.0,1.0,0.0,-0.2381,-0.1429,-0.3333
1.0,1.0,0.5,-0.2381,-0.1429,-0.3333
1.0,2.0,-0.5,-0.1429,-0.0476,-0.2381
1.0,2.0,0.0,-0.2381,-0.1429,-0.3333
1.0,2.0,0.5,-0.2381,-0.1429,-0.3333
1.25,0.5,-0.5,-0.1429,-0.0476,-0.2381
1.25,0.5,0.0,-0.2381,-0.0476,-0.3333
1.25,0.5,0.5,-0.2381,-0.1429,-0.3333
1.25,1.0,-0.5,-0.1429,-0.0476,-0.2381
1.25,1.0,0.0,-0.2381,-0.0476,-0.3333
1.25,1.0,0.5,-0.2381,-0.1429,-0.3333
1.25,2.0,-0.5,-0.1429,-0.0476,-0.2381
1.25,2.0,0.0,-0.2381,-0.0476,-0.3333
1.25,2.0,0.5,-0.2381,-0.1429,-0.3333
1.5,0.5,-0.5,-0.1429,-0.0476,-0.2381
1.5,0.5,0.0,-0.1429,-0.0476,-0.2381
1.5,0.5,0.5,-0.2381,-0.1429,-0.3333
1.5,1.0,-0.5,-0.1429,-0.0476,-0.2381
1.5,1.0,0.0,-0.1429,-0.0476,-0.2381
1.5,1.0,0.5,-0.2381,-0.1429,-0.3333
1.5,2.0,-0.5,-0.1429,-0.0476,-0.2381
1.5,2.0,0.0,-0.1429,-0.0476,-0.2381
1.5,2.0,0.5,-0.2381,-0.1429,-0.3333

ANCHOR_inference_only,,,-0.1429,-0.0476,-0.3333
