k,B,completion_rate,mean_cost,cnsr,mean_interventions,n_eval
5,3,0.9866666666666667,1.2586000000000006,0.783939827321362,7.926666666666667,150
5,4,0.98,1.1032666666666673,0.8882711946341163,7.093333333333334,150
5,5,0.98,1.0698666666666672,0.9160019940179457,6.986666666666666,150
5,6,0.98,1.0698666666666672,0.9160019940179457,6.986666666666666,150
5,7,0.98,1.0698666666666672,0.9160019940179457,6.986666666666666,150
8,3,0.92,1.0936000000000006,0.8412582297000728,5.86,150
8,4,0.92,1.0652666666666673,0.8636335189936788,5.726666666666667,150
8,5,0.9333333333333333,1.056933333333334,0.8830579033682346,5.693333333333333,150
8,6,0.9333333333333333,1.056933333333334,0.8830579033682346,5.693333333333333,150
8,7,0.9333333333333333,1.056933333333334,0.8830579033682346,5.693333333333333,150
10,3,0.8733333333333333,1.0646000000000004,0.8203394076022289,4.926666666666667,150
10,4,0.8733333333333333,1.0534666666666672,0.8290089862042774,4.88,150
10,5,0.86,1.0485333333333338,0.820193285859613,4.8533333333333335,150
10,6,0.86,1.0485333333333338,0.820193285859613,4.8533333333333335,150
10,7,0.86,1.0485333333333338,0.820193285859613,4.8533333333333335,150
12,3,0.64,1.0476666666666676,0.6108813235762005,4.033333333333333,150
12,4,0.6466666666666666,1.0416000000000007,0.6208397337429591,4.026666666666666,150
12,5,0.6466666666666666,1.0402666666666676,0.6216354780825424,4.026666666666666,150
12,6,0.6466666666666666,1.0402666666666676,0.6216354780825424,4.026666666666666,150
12,7,0.6466666666666666,1.0402666666666676,0.6216354780825424,4.026666666666666,150
15,3,0.34,1.0354000000000005,0.3283755070504151,3.3066666666666666,150
15,4,0.34,1.0336666666666672,0.32892615285391796,3.3,150
15,5,0.34,1.0330000000000006,0.32913843175217794,3.3,150
15,6,0.34,1.0330000000000006,0.32913843175217794,3.3,150
15,7,0.34,1.0330000000000006,0.32913843175217794,3.3,150
