predictor,k,auc,auc_ci_lo,auc_ci_hi,ap,brier
drift_only,3,0.6062173552688798,0.5899881944364267,0.6218198835386289,0.07469684751393205,0.24177115462692567
drift_only,5,0.6086716277775844,0.5956376653511917,0.621708703245202,0.1265543257810674,0.2409147858139484
drift_only,10,0.6243278261063774,0.6143237561586143,0.6343846668449497,0.2534044815161911,0.23752079065956716
oscillation_only,3,0.5844754528750201,0.5679382036605664,0.6009422474476808,0.06996255383396313,0.24379167162877693
oscillation_only,5,0.5892669610877351,0.5758504140050982,0.6022916657351136,0.11608688137370558,0.2429172649184289
oscillation_only,10,0.6073473740633619,0.5972593936193198,0.6174005927125849,0.23953426146258905,0.2399086033832116
fidelity_only,3,0.49865008178727316,0.4795418573772772,0.5177754107890828,0.059082460250666935,0.24976135232218516
fidelity_only,5,0.4945343990779884,0.47927961355853826,0.5095630577426724,0.09803632587438404,0.24996794536805983
fidelity_only,10,0.5041922299523166,0.49291627150454514,0.5156724807073153,0.2001394434835588,0.24984362882613587
combined,3,0.7435092750922941,0.7300381098460824,0.7567773085786934,0.12977364429669197,0.2131473501705929
combined,5,0.7518070631250032,0.741063347237479,0.7623301444868564,0.21070280189965407,0.210118774254677
combined,10,0.7714012160939823,0.7632836793737732,0.7795823873754903,0.39999396775520407,0.20048242661742244
mlp,3,0.49887144030290315,0.480511346133917,0.5174106646769635,0.05729908035029117,0.07321733459219058
mlp,5,0.5155831871991415,0.5012014954157663,0.5303162642850213,0.0992642229167501,0.10314201641025425
mlp,10,0.6128099699605803,0.6022017477673978,0.6232502477979489,0.265071402011418,0.15773370864825909
