model,slug,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
gemma2:2b,google/gemma-2-2b-it,0,0,5adef80b5542993a75d263c4,1,1.0,5483,187,0.000567,6
gemma2:2b,google/gemma-2-2b-it,0,1,5ae0aaf455429945ae959401,0,0.6667,4878,201,0.0005079,6
gemma2:2b,google/gemma-2-2b-it,0,2,5ab47d765542991751b4d78f,0,0.0,4730,211,0.0004941,6
gemma2:2b,google/gemma-2-2b-it,0,3,5a7ed2c655429930675135e5,0,0.0,7681,236,0.0007917,6
gemma2:2b,google/gemma-2-2b-it,0,4,5ac3e0f7554299194317388b,1,1.0,1955,96,0.00020510000000000003,2
gemma2:2b,google/gemma-2-2b-it,0,5,5a7bae20554299294a54aa96,0,0.0,5896,195,0.0006091,6
gemma2:2b,google/gemma-2-2b-it,0,6,5ab8ee035542991b5579f04b,0,0.0,618,64,6.82e-05,1
gemma2:2b,google/gemma-2-2b-it,0,7,5a7a276d5542996c55b2dd27,0,0.0,532,49,5.81e-05,1
gemma2:2b,google/gemma-2-2b-it,0,8,5a717d4c5542994082a3e854,0,0.8,3170,167,0.00033370000000000003,5
gemma2:2b,google/gemma-2-2b-it,0,9,5ac02e31554299294b218f3f,1,1.0,826,38,8.64e-05,1
gemma2:2b,google/gemma-2-2b-it,0,10,5a79ea435542996c55b2dc9e,0,0.0,844,37,8.810000000000001e-05,1
gemma2:2b,google/gemma-2-2b-it,0,11,5ab7e4dc5542995dae37e9df,1,1.0,6728,209,0.0006937,6
gemma2:2b,google/gemma-2-2b-it,0,12,5a834ed95542990548d0b1ca,0,0.5,4989,205,0.0005193999999999999,6
gemma2:2b,google/gemma-2-2b-it,0,13,5ab41d855542996a3a969f4b,0,0.0,611,52,6.63e-05,1
gemma2:2b,google/gemma-2-2b-it,0,14,5a7b7ff75542995eb53be93d,0,0.6,4474,202,0.00046760000000000004,6
gemma2:2b,google/gemma-2-2b-it,0,15,5a7d19d85542995ed0d165e8,0,0.6667,514,38,5.52e-05,1
gemma2:2b,google/gemma-2-2b-it,0,16,5ae7ed17554299540e5a56a3,0,0.0,5234,166,0.00054,6
gemma2:2b,google/gemma-2-2b-it,0,17,5ab2659e554299340b5254b2,0,0.5,632,52,6.840000000000001e-05,1
gemma2:2b,google/gemma-2-2b-it,0,18,5abd2eab5542992ac4f38210,1,1.0,1750,84,0.0001834,2
gemma2:2b,google/gemma-2-2b-it,0,19,5abaf3195542996cc5e49f2c,1,1.0,6245,226,0.0006471000000000001,6
gemma2:2b,google/gemma-2-2b-it,0,20,5a791a97554299148911f9f2,0,0.0,552,36,5.8800000000000006e-05,1
gemma2:2b,google/gemma-2-2b-it,0,21,5adf58f15542993a75d264d2,0,0.0,887,38,9.25e-05,1
gemma2:2b,google/gemma-2-2b-it,0,22,5adc65e85542996e68525350,0,0.0,927,98,0.0001025,2
gemma2:2b,google/gemma-2-2b-it,0,23,5a87ab9b5542996e4f3088c2,0,0.0,716,41,7.57e-05,1
gemma2:2b,google/gemma-2-2b-it,0,24,5a738fe855429908901be2fb,0,0.0,509,38,5.47e-05,1
gemma2:2b,google/gemma-2-2b-it,0,25,5a8c65a1554299585d9e3680,0,0.0,741,62,8.030000000000001e-05,1
gemma2:2b,google/gemma-2-2b-it,0,26,5ac2bbd0554299218029db09,1,1.0,6252,169,0.0006421,6
gemma2:2b,google/gemma-2-2b-it,0,27,5adf3e355542993a75d26440,0,0.6667,724,30,7.54e-05,1
gemma2:2b,google/gemma-2-2b-it,0,28,5ae82ae555429952e35eaa71,1,1.0,10893,192,0.0011085,6
gemma2:2b,google/gemma-2-2b-it,0,29,5ac289ff5542996366519a02,0,0.4,5641,216,0.0005857000000000001,6
gemma2:2b,google/gemma-2-2b-it,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,672,34,7.060000000000001e-05,1
gemma2:2b,google/gemma-2-2b-it,0,31,5ab8688b55429934fafe6daa,1,1.0,547,30,5.77e-05,1
gemma2:2b,google/gemma-2-2b-it,0,32,5a7a3a945542996a35c17147,0,0.0,1928,77,0.0002005,2
gemma2:2b,google/gemma-2-2b-it,0,33,5ab9b29c554299743d22ebae,0,0.2222,7267,252,0.0007519000000000001,6
