model,slug,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,0,5adef80b5542993a75d263c4,1,1.0,5258,257,0.00033089999999999997,5
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,1,5ae0aaf455429945ae959401,0,0.5714,5112,269,0.00032286,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,2,5ab47d765542991751b4d78f,0,0.8,1244,88,7.992000000000001e-05,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,3,5a7ed2c655429930675135e5,0,0.0,1880,90,0.00011819999999999999,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,4,5ac3e0f7554299194317388b,1,1.0,834,32,5.1960000000000004e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,5,5a7bae20554299294a54aa96,0,0.0,699,68,4.6019999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,6,5ab8ee035542991b5579f04b,0,0.0,1738,106,0.00011064,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,7,5a7a276d5542996c55b2dd27,0,0.8571,532,65,3.582e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,8,5a717d4c5542994082a3e854,0,0.0,592,48,3.84e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,9,5ac02e31554299294b218f3f,1,1.0,847,75,5.532e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,10,5a79ea435542996c55b2dc9e,0,0.6667,853,63,5.496e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,11,5ab7e4dc5542995dae37e9df,1,1.0,1018,28,6.276e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,12,5a834ed95542990548d0b1ca,0,0.0,698,37,4.41e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,13,5ab41d855542996a3a969f4b,0,0.0,602,66,4.0079999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,14,5a7b7ff75542995eb53be93d,0,0.0,660,40,4.2e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,15,5a7d19d85542995ed0d165e8,0,0.6667,511,50,3.366e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,16,5ae7ed17554299540e5a56a3,0,0.0,624,91,4.29e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,17,5ab2659e554299340b5254b2,0,0.0,631,65,4.176e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,18,5abd2eab5542992ac4f38210,1,1.0,663,42,4.23e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,19,5abaf3195542996cc5e49f2c,0,0.0,706,39,4.4699999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,20,5a791a97554299148911f9f2,0,0.4,565,73,3.828e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,21,5adf58f15542993a75d264d2,0,0.0,860,60,5.519999999999999e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,22,5adc65e85542996e68525350,0,0.0,449,58,3.0419999999999997e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,23,5a87ab9b5542996e4f3088c2,0,0.0,754,61,4.8899999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,24,5a738fe855429908901be2fb,0,0.0,516,66,3.4920000000000004e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,25,5a8c65a1554299585d9e3680,0,0.0,737,61,4.7879999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,26,5ac2bbd0554299218029db09,1,1.0,719,53,4.632e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,27,5adf3e355542993a75d26440,1,1.0,753,77,4.98e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,28,5ae82ae555429952e35eaa71,1,1.0,1135,29,6.984000000000001e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,29,5ac289ff5542996366519a02,0,0.0,716,53,4.614e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,30,5a7a5b3a5542996c55b2dd71,0,0.0,670,38,4.248e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,31,5ab8688b55429934fafe6daa,0,0.0,2610,135,0.0001647,3
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,32,5a7a3a945542996a35c17147,0,0.0,6836,354,0.00043139999999999997,6
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,33,5ab9b29c554299743d22ebae,0,0.0,5833,294,0.00036762,5
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,34,5a8b63fa55429950cd6afcd7,1,1.0,599,52,3.9059999999999995e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,35,5ade51b45542997c77adedf4,1,1.0,685,32,4.302e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,36,5ae4c49a5542995dadf24400,0,0.0,1605,108,0.00010278,2
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,37,5a7d3470554299452d57bb56,1,1.0,727,49,4.6559999999999995e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,38,5ae4f2c75542993aec5ec0fb,0,0.0,756,42,4.7879999999999996e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,39,5ab1d7ac554299449642c7e6,0,0.0,343,48,2.3460000000000002e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,40,5a85cead5542991dd0999ea9,0,0.0,1095,34,6.774e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,41,5a73a7c755429978a71e9068,0,0.0,893,38,5.586e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,42,5a7f113d55429934daa2fcbe,0,0.6667,551,63,3.684e-05,1
llama3.2:3b,meta-llama/Llama-3.2-3B-Instruct-Turbo,0,43,5ae6828f5542996d980e7bb9,1,1.0,796,61,5.141999999999999e-05,1
