policy,seed,task_idx,qid,em,f1,prompt_tokens,completion_tokens,cost_usd,turns,n_interventions,osc_max,fid_min
NoControl,0,0,5a88d745554299206df2b378,1,1.0,3363,325,0.00066384,6,0,1.0,1.0
NoControl,0,1,5ae748d1554299572ea547b0,1,1.0,9098,460,0.00172044,6,0,1.0,1.0
NoControl,0,2,5a7a8a9c554299042af8f666,0,0.5,3226,298,0.00063432,4,0,1.0,1.0
NoControl,0,3,5adffe7155429906c02daa9e,0,0.0,631,29,0.0001188,1,0,0.0,1.0
NoControl,0,4,5ab642845542995eadeeff8e,1,1.0,387,46,7.794e-05,1,0,0.0,1.0
NoControl,0,5,5a906a685542990a9849362e,1,1.0,4379,251,0.0008334,4,0,1.0,1.0
NoControl,0,6,5a7633ad5542992db9473741,0,0.0,5962,407,0.00114642,6,0,1.0,1.0
NoControl,0,7,5a74ce9655429974ef308c6c,0,0.6667,444,37,8.658e-05,1,0,0.0,1.0
NoControl,0,8,5a713a5a5542994082a3e6a9,1,1.0,5392,385,0.00103986,6,0,1.0,1.0
NoControl,0,9,5ab341f755429969a97a8114,1,1.0,3134,202,0.00060048,3,0,1.0,1.0
NoControl,0,10,5a8325b35542990548d0b18f,0,0.0,2222,255,0.00044586,3,0,1.0,1.0
NoControl,0,11,5ab9374b554299131ca422c6,0,0.0,2320,206,0.00045468,3,0,1.0,1.0
NoControl,0,12,5ae52c0f5542992663a4f12e,0,0.0,5023,336,0.00096462,6,0,1.0,1.0
NoControl,0,13,5adbfbd555429947ff173893,0,0.8,1733,126,0.00033462,2,0,0.667,1.0
NoControl,0,14,5ab7f0015542992aa3b8c88b,0,0.0,6448,267,0.0012087,5,0,1.0,1.0
NoControl,0,15,5ac547525542993e66e822a3,0,0.0,3481,286,0.00067806,3,0,1.0,1.0
NoControl,0,16,5a7cbf8c554299452d57b9f4,0,0.0,7842,391,0.00148194,6,0,1.0,1.0
NoControl,0,17,5a7ddc5a5542995f4f4022da,1,1.0,1007,158,0.0002097,2,0,1.0,1.0
NoControl,0,18,5a7a1cd85542990783324e65,0,0.0,651,67,0.00012924,1,0,0.0,1.0
NoControl,0,19,5ae0a59a55429945ae9593e2,0,0.0,1563,150,0.00030834,2,0,0.8,1.0
NoControl,0,20,5a8b987f5542997f31a41d7a,1,1.0,4297,297,0.00082692,6,0,1.0,1.0
NoControl,0,21,5a8739a05542994775f607ab,0,0.5,1299,147,0.00026028,2,0,0.8,1.0
NoControl,0,22,5ae67dba55429908198fa5f0,1,1.0,6032,380,0.00115416,6,0,1.0,1.0
NoControl,0,23,5a7b3f4d5542992d025e67bb,0,0.8,5362,469,0.00104958,6,0,1.0,1.0
NoControl,0,24,5ae2dfd155429928c423951b,0,0.0,5367,398,0.0010377,6,0,1.0,1.0
NoControl,0,25,5ab6ba245542995eadef007f,1,1.0,566,38,0.00010872,1,0,0.0,1.0
NoControl,0,26,5ab8854555429934fafe6e0c,1,1.0,492,60,9.936e-05,1,0,0.0,1.0
NoControl,0,27,5a8eea4a5542990e94052bb7,0,0.0,7912,448,0.0015048,6,0,1.0,1.0
NoControl,0,28,5a74c85055429916b0164218,0,0.0,3285,272,0.00064026,6,0,1.0,1.0
NoControl,0,29,5a88dcf9554299206df2b383,1,1.0,5109,326,0.0009783,6,0,1.0,1.0
NoControl,0,30,5a7625c7554299109176e668,1,1.0,11390,324,0.00210852,6,0,1.0,1.0
NoControl,0,31,5ac0d83a554299294b219038,0,0.0,1729,135,0.00033552,2,0,0.571,1.0
NoControl,0,32,5a790d8f554299029c4b5eec,1,1.0,7747,528,0.0014895,6,0,1.0,1.0
NoControl,0,33,5ab2c5e255429916697740ba,0,0.3333,5782,400,0.00111276,5,0,1.0,1.0
NoControl,0,34,5abcfc365542993a06baf9d6,1,1.0,8940,515,0.0017019,6,0,1.0,1.0
NoControl,0,35,5a8ee6915542990e94052bad,0,0.0,6801,471,0.00130896,6,0,1.0,1.0
NoControl,0,36,5abba4855542993f40c73b68,1,1.0,6652,468,0.0012816,6,0,1.0,1.0
NoControl,0,37,5ae0bae555429906c02dab08,0,0.0,5945,423,0.00114624,6,0,1.0,1.0
NoControl,0,38,5ab271fe554299449642c8a6,1,1.0,561,60,0.00011178,1,0,0.0,1.0
NoControl,0,39,5a7997a2554299029c4b5f59,0,0.0,5822,420,0.00112356,6,0,1.0,1.0
NoControl,0,40,5add673e5542992ae4cec54d,0,0.0,7757,435,0.00147456,6,0,1.0,1.0
NoControl,0,41,5ae819ac55429952e35eaa16,0,0.0,5171,400,0.00100278,5,0,1.0,1.0
NoControl,0,42,5aba65a055429939ce03dcd2,1,1.0,8261,394,0.0015579,5,0,1.0,1.0
NoControl,0,43,5a87bada5542994846c1cddc,0,0.0,5051,349,0.000972,6,0,1.0,1.0
NoControl,0,44,5ae74fc45542997b22f6a6b4,0,0.0,5389,377,0.00103788,6,0,1.0,1.0
NoControl,0,45,5adf65555542992d7e9f9334,1,1.0,6247,408,0.0011979,6,0,1.0,1.0
NoControl,0,46,5ade69e455429975fa854ec5,0,0.0,4801,369,0.0009306,6,0,1.0,1.0
NoControl,0,47,5ae057fd55429945ae959328,0,0.0,4514,253,0.00085806,6,0,1.0,1.0
NoControl,0,48,5ab28019554299722f9b4d51,0,0.0,1464,145,0.00028962,2,0,1.0,1.0
NoControl,0,49,5a75f79555429976ec32bcca,0,0.0,9242,349,0.00172638,6,0,1.0,1.0
NoControl,1,0,5a88d745554299206df2b378,0,0.0,3994,328,0.00077796,6,0,1.0,1.0
NoControl,1,1,5ae748d1554299572ea547b0,1,1.0,9385,323,0.00174744,6,0,1.0,1.0
NoControl,1,2,5a7a8a9c554299042af8f666,0,0.5,5303,460,0.00103734,6,0,1.0,1.0
NoControl,1,3,5adffe7155429906c02daa9e,0,0.0,1452,109,0.00028098,2,0,0.8,1.0
NoControl,1,4,5ab642845542995eadeeff8e,1,1.0,387,45,7.776e-05,1,0,0.0,1.0
NoControl,1,5,5a906a685542990a9849362e,0,0.0,845,64,0.00016362,1,0,0.0,1.0
NoControl,1,6,5a7633ad5542992db9473741,0,0.0,1643,162,0.0003249,2,0,0.8,1.0
NoControl,1,7,5a74ce9655429974ef308c6c,0,0.6667,444,41,8.73e-05,1,0,0.0,1.0
NoControl,1,8,5a713a5a5542994082a3e6a9,0,0.0,5079,314,0.00097074,6,0,1.0,1.0
NoControl,1,9,5ab341f755429969a97a8114,1,1.0,8141,364,0.0015309,6,0,1.0,1.0
NoControl,1,10,5a8325b35542990548d0b18f,0,0.0,616,70,0.00012348,1,0,0.0,1.0
NoControl,1,11,5ab9374b554299131ca422c6,0,0.0,7688,493,0.00147258,6,0,1.0,1.0
NoControl,1,12,5ae52c0f5542992663a4f12e,0,0.0,5988,322,0.0011358,6,0,1.0,1.0
NoControl,1,13,5adbfbd555429947ff173893,0,0.5,748,44,0.00014256,1,0,0.0,1.0
NoControl,1,14,5ab7f0015542992aa3b8c88b,0,0.0,732,40,0.00013896,1,0,0.0,1.0
NoControl,1,15,5ac547525542993e66e822a3,0,0.0,2174,165,0.00042102,2,0,0.8,1.0
NoControl,1,16,5a7cbf8c554299452d57b9f4,0,0.0,9185,440,0.0017325,6,0,1.0,1.0
NoControl,1,17,5a7ddc5a5542995f4f4022da,1,1.0,2259,297,0.00046008,4,0,1.0,1.0
NoControl,1,18,5a7a1cd85542990783324e65,0,0.0,5038,392,0.0009774,6,0,1.0,1.0
NoControl,1,19,5ae0a59a55429945ae9593e2,0,0.0,6387,446,0.00122994,6,0,1.0,1.0
NoControl,1,20,5a8b987f5542997f31a41d7a,0,0.4,1736,172,0.00034344,3,0,0.833,1.0
NoControl,1,21,5a8739a05542994775f607ab,0,0.5,1302,132,0.00025812,2,0,0.8,1.0
NoControl,1,22,5ae67dba55429908198fa5f0,0,0.0,7831,424,0.0014859,6,0,1.0,1.0
NoControl,1,23,5a7b3f4d5542992d025e67bb,0,0.8,623,101,0.00013032,1,0,0.0,1.0
NoControl,1,24,5ae2dfd155429928c423951b,1,1.0,5610,464,0.00109332,6,0,1.0,1.0
NoControl,1,25,5ab6ba245542995eadef007f,1,1.0,566,60,0.00011268,1,0,0.0,1.0
NoControl,1,26,5ab8854555429934fafe6e0c,1,1.0,5697,426,0.00110214,6,0,1.0,1.0
NoControl,1,27,5a8eea4a5542990e94052bb7,0,0.0,7052,485,0.00135666,6,0,1.0,1.0
NoControl,1,28,5a74c85055429916b0164218,0,0.6667,3591,399,0.0007182,6,0,1.0,1.0
NoControl,1,29,5a88dcf9554299206df2b383,1,1.0,4088,351,0.00079902,6,0,1.0,1.0
NoControl,1,30,5a7625c7554299109176e668,0,0.0,1483,75,0.00028044,1,0,0.0,1.0
NoControl,1,31,5ac0d83a554299294b219038,0,0.0,6486,435,0.00124578,6,0,1.0,1.0
NoControl,1,32,5a790d8f554299029c4b5eec,1,1.0,8464,473,0.00160866,6,0,1.0,1.0
NoControl,1,33,5ab2c5e255429916697740ba,0,0.0,668,63,0.00013158,1,0,0.0,1.0
NoControl,1,34,5abcfc365542993a06baf9d6,0,0.0,5373,394,0.00103806,6,0,1.0,1.0
NoControl,1,35,5a8ee6915542990e94052bad,0,0.0,6245,426,0.00120078,6,0,1.0,1.0
NoControl,1,36,5abba4855542993f40c73b68,1,1.0,737,101,0.00015084,1,0,0.0,1.0
NoControl,1,37,5ae0bae555429906c02dab08,0,0.0,6495,415,0.0012438,6,0,1.0,1.0
