policy,seed,task_idx,qid,em,f1,answered,derailed,osc_max,turns,n_interventions,prompt_tokens,completion_tokens,cost_usd
NoControl,0,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.667,2,0,1791,77,0.0014944
NoControl,0,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,64,0.000528
NoControl,0,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
NoControl,0,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,42,0.000572
NoControl,0,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,78,0.0007416
NoControl,0,5,5abc3a65554299700f9d782d,1,1.0,1,0,0.667,2,0,1949,108,0.0016456
NoControl,0,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,111,0.0005368
NoControl,0,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
NoControl,0,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,45,0.0007472
NoControl,0,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,58,0.0005208
NoControl,0,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,48,0.0004464
NoControl,0,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,80,0.0005632
NoControl,1,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,37,0.0006752
NoControl,1,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
NoControl,1,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
NoControl,1,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
NoControl,1,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,64,0.0007304
NoControl,1,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,0,1976,137,0.0016904
NoControl,1,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,60,0.000496
NoControl,1,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,48,0.0004592
NoControl,1,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,42,0.0007448
NoControl,1,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,50,0.0005144
NoControl,1,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,38,0.0004384
NoControl,1,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
NoControl,2,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,36,0.0006744
NoControl,2,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,56,0.0005216
NoControl,2,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,42,0.0005096
NoControl,2,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,40,0.0005704
NoControl,2,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.0,1,0,849,63,0.0007296
NoControl,2,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.667,2,0,1935,84,0.0016152
NoControl,2,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,129,0.0005512
NoControl,2,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,43,0.0004552
NoControl,2,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,65,0.0007632
NoControl,2,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,41,0.0005072
NoControl,2,10,5ae048a255429924de1b708e,1,1.0,1,0,0.0,1,0,510,51,0.0004488
NoControl,2,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,43,0.0005336
NoControl,3,0,5ae497f15542995ad6573db8,0,0.0,1,0,0.0,1,0,807,38,0.000676
NoControl,3,1,5ae6f2a7554299572ea5464a,0,0.0,1,0,0.0,1,0,596,61,0.0005256
NoControl,3,2,5adea9ea55429939a52fe934,1,1.0,1,0,0.0,1,0,595,44,0.0005112
NoControl,3,3,5a7caae75542996dd594b971,0,0.5,1,0,0.0,1,0,673,49,0.0005776
NoControl,3,4,5ac01bb8554299012d1db5a6,1,1.0,1,0,0.571,2,0,2411,143,0.0020432
NoControl,3,5,5abc3a65554299700f9d782d,0,0.0,1,0,0.0,1,0,849,48,0.0007176
NoControl,3,6,5ae3ff575542995dadf242aa,1,1.0,1,0,0.0,1,0,560,55,0.000492
NoControl,3,7,5a89fb525542993b751ca9d6,1,1.0,1,0,0.0,1,0,526,49,0.00046
NoControl,3,8,5ab3d69255429969a97a81c9,0,0.8,1,0,0.0,1,0,889,45,0.0007472
NoControl,3,9,5ac5199a5542994611c8b38a,1,1.0,1,0,0.0,1,0,593,52,0.000516
NoControl,3,10,5ae048a255429924de1b708e,1,1.0,1,0,0.8,2,0,1163,114,0.0010216
NoControl,3,11,5a9068a95542990a98493621,1,1.0,1,0,0.0,1,0,624,39,0.0005304
